id,name,ppOld,ppNew,ppDiff,minuteUpdated
758406,dressurf,26674.8,26553.76,3042,28176151
3935111,Bssd,25271.4,24902.01,2259,28176151
11420405,- Kura -,25108.5,24815.88,1782,28176151
2402586,HanJaeHun,24258.4,23691.30,1706,28176151
10083439,bojii,24433.7,23633.12,1445,28176151
6132697,Suzuha_l,24179.1,23550.55,2090,28176151
766374,LostCool,24082.8,23505.63,1997,28176151
10910337,Stellium,24041.4,23319.39,1367,28176151
259972,Jakads,22684.6,23073.82,4997,28176151
13026904,tyrcs,23257,22648.06,1595,28176151
7727987,Neokje,23045.7,22635.71,1417,28176151
10790649,Kalkai,23290.8,22339.73,1790,28176151
19791211,DellyK,23073.3,22244.97,1168,28176151
4477497,cheewee10,23065.8,22207.54,1085,28176151
12040572,_Ennill,23132.8,22097.09,1051,28176151
3154852,aitor98,22975.9,22056.37,1507,28176151
4980256,Alter-,22956.7,21915.77,1099,28176151
9526558,ZoyFangirl,22750.3,21860.88,1091,28176151
137227,ideu-,22514.1,21775.74,1732,28176151
8748664,Arona,22660,21726.37,1210,28176151
2071008,yz1155,21160.4,21523.89,4342,28176151
7195415,hapf,22089.9,21469.91,1628,28176151
17932840,Modern,22208.3,21211.56,938,28176151
8046839,Alchemy,21858.1,20971.68,1133,28176151
877011,Berrii,21674.8,20933.39,1859,28176151
8273098,My Angel Koishi,21838.5,20871.95,1428,28176151
8716749,Dety,21445.8,20673.83,1372,28176151
3885626,Motion,21474.3,20612.01,631,28176151
2288363,SillyFangirl,21611,20526.10,158,28176151
14318312,[Crz]Reimu,21186.4,20476.81,1153,28176151
21744976,Soomin_,20577.3,20435.78,2437,28176151
10569738,QingJiDing,20792.6,20354.07,1327,28176151
10132430,NKEYBOARD,20439.2,20339.89,3602,28176151
7354881,karcice,20033.2,20326.48,3867,28176151
18282863,HxcQ777,21129.5,20293.77,1219,28176151
11290311,Tyronix,21291.5,20197.37,722,28176151
12598261,TsukiyaWhiskers,20774.6,20108.49,864,28176151
16270273,[UTGY],21070.1,20107.93,882,28176151
8677684,Onta_Bekasi,20911.6,20107.59,478,28176151
10079171,Epi75,20883.2,20097.62,1699,28176151
12572401,kzorii,20763.5,20093.89,-350,28176151
10512663,af-,20732.8,20078.93,821,28176151
485007,rainlily,20804.1,19997.33,1731,28176151
17233884,RectalRampage69,20269.1,19915.48,1174,28176151
89545,VanWilder,20309.8,19539.48,515,28176151
6117525,ruka,20317.4,19501.39,-100,28176151
3036686,Sanni,20345.4,19473.66,253,28176151
5332153,cr1sp,20114.8,19467.35,548,28176151
5144698,LiangIaiajan,19107.3,19272.97,3448,28176151
10137852,Doma - Umaru,19087.2,19222.52,4115,28176151
9880422,rubyy,19759,19212.49,1322,28176151
10794280,Altros,20135.6,19182.11,-679,28176151
11976455,Enie,20033.9,19172.33,45,28176151
10329095,VanillaLatte,19880.7,18998.91,-221,28176151
7515326,[ M Y S T I C ],19270,18972.47,-302,28176151
7304158,Space1999,18235.5,18931.74,486,28176151
16734203,instal,19816.2,18808.67,-677,28176151
12028216,mashu,19724.7,18768.91,-152,28176151
3721535,D P,18821,18699.02,3004,28176151
3693546,LR2MAG,19008.7,18619.02,1906,28176151
1020304,NkeyZoyDkqehKal,19491.4,18513.68,-4,28176151
8035811,Nara_S2,19497.6,18505.13,370,28176151
18828348,N_Sana,19238.2,18504.33,715,28176151
6824258,Dius,19165.6,18492.97,1557,28176151
10400730,-NoName-,19545.8,18460.76,266,28176151
14516576,LokSG,18493,18443.78,318,28176151
2655836,Yanamon,18496.7,18304.56,2613,28176151
25393074,Vbpl_167,19022.4,18294.24,244,28176151
12634757,YunJeong_U,19186.5,18258.07,244,28176151
15314355,UmmmMrMoo,19259.4,18246.36,477,28176151
16322711,FakeException,18853.5,18206.38,378,28176151
15164383,__User__,19210.4,18186.19,462,28176151
10878878,chumpup,18774.6,18146.24,-437,28176151
14952077,yeonho7028,18334.8,18088.14,1455,28176151
5684525,_relay,18801.3,18052.85,-80,28176151
22791301,_93,18119.3,18041.12,2250,28176151
10303887,oct4,18767.5,18033.18,-350,28176151
8862836,qquark,18859,17986.08,382,28176151
2218047,Kim_GodSSI,17871,17919.05,3781,28176151
9707898,weluviwanna,18843,17880.29,-541,28176151
4270732,rlarkgus,18982.9,17865.64,-85,28176151
16819909,Arcaxio,18917.1,17861.53,-48,28176151
25804954,Li Ji Xian,18095.4,17850.38,1364,28176151
8519296,Notpx-,18839.9,17798.30,228,28176151
9918331,firsw,18885.2,17795.13,352,28176151
13465246,Snowie_Osu,18445.1,17763.96,1364,28176151
16012377,[-Tricked-],18675.6,17721.78,-265,28176151
11199083,Judiciousity,17778,17691.79,-473,28176151
24675802,Bunsen,18268.1,17670.80,-850,28176151
2141612,stupud man,17568.7,17528.33,2310,28176151
14631339,lnote_,18544.4,17396.04,227,28176151
9666710,[EGEJ]Egg_Tart,18300,17361.38,665,28176151
18271627,grillroasted,18301.9,17271.56,-542,28176151
18546367,Mango0307,18175.8,17165.34,92,28176151
7860283,CrewK fanboy,18123.4,17157.24,-219,28176151
2494747,Windows - Xp,17937,17121.42,60,28176151
16207464,tnwl,16899.5,17087.76,3147,28176151
13967954,Watch01,18004.8,17070.01,-502,28176151
6336721,[Paw]FIood,17546.5,17039.82,638,28176151
11658296,[hgamea],17579,16937.09,1329,28176151
17721836,Natsurio,17708.4,16918.74,41,28176151
13450592,Vylence,17807.6,16898.09,78,28176151
11636434,Jeersy,17396,16861.48,842,28176151
15838669,_Phigros,17746.4,16855.43,-421,28176151
18172498,Tsunakko,17702.7,16816.98,50,28176151
12386417,GreenTeaz-,17793.5,16739.69,-310,28176151
14245127,Cheung Fun,17292.6,16733.32,660,28176151
7457801,Nagareboshi,16805.3,16707.08,2299,28176151
6452862,Afro_ilshio,17682.7,16705.72,154,28176151
7853143,faz_cL,17273.9,16686.67,649,28176151
4194612,YUKI -,17559,16657.76,-377,28176151
7590894,ExNeko,17649.4,16628.15,-323,28176151
4952941,Gamer97,17060.8,16607.61,811,28176151
31323430,Cyubic_EZ2AC,16727.3,16578.89,-263,28176151
3835515,INGYK,17561.8,16573.61,-204,28176151
18350349,samyangramyun,16700.8,16549.16,676,28176151
4790958,MadBricktree,17528.1,16524.50,-80,28176151
7486692,decoy-,17266.8,16505.06,-2,28176151
7296731,wonder6974,17306.9,16444.25,-134,28176151
13622614,Harambe,16973.1,16398.74,55,28176151
11270477,Schopfer,17193.2,16398.27,1601,28176151
25226992,Ena Shinonome,17124,16365.92,419,28176151
7288913,_LASH,17012.7,16343.86,1029,28176151
24331923,X-DEN,17164.2,16341.12,-255,28176151
10125072,U1d,16662.1,16324.68,1356,28176151
13167794,ez2ac_JJO,16282,16311.99,2489,28176151
20834952,dks9o,16769.6,16274.54,620,28176151
9919550,yukina meng,17228.1,16257.01,-348,28176151
18027748,Yunoyunoyuno,17159.8,16247.44,388,28176151
7156634,karayss,16532.2,16239.10,1683,28176151
23414371,kanolove1989,16707.5,16221.64,92,28176151
8901267,fer789,16993.1,16218.53,283,28176151
15514768,Mkurisutina-,17203.8,16218.51,6,28176151
10072733,myucchii,16462.8,16173.97,1174,28176151
23401664,sjccsjcc,16942.1,16171.24,-241,28176151
8369893,soulseason,15826.8,16166.11,3595,28176151
427355,KafuuChino,15934.8,16143.08,2843,28176151
3632846,lxLucasxl,17241.2,16129.77,151,28176151
6968857,[NaNachi],16197.5,16105.54,2252,28176151
14767969,- Minato Aqua -,16752.3,16079.02,-219,28176151
16317888,e1aina,16313,16076.00,100,28176151
6378800,anim girl,17079.1,16066.69,-565,28176151
16419138,newneww,16922.5,16034.92,136,28176151
10332424,Rivariec,16544.6,16033.56,-27,28176151
9702339,2352961378,16835.3,16011.93,396,28176151
10351684,AWMRone,16855.3,16004.53,191,28176151
20226914,BondLord,16759.8,15970.44,111,28176151
16162078,Usie,16409.1,15949.32,95,28176151
11557167,Mafuyu87Fanboy,16841,15919.60,-110,28176151
10229867,lNTP,15531.2,15899.78,3743,28176151
31454909,020101,16637,15893.53,306,28176151
7222674,Laply,16739.9,15891.94,-32,28176151
16415677,uni3924,16822.4,15834.34,-74,28176151
16297375,_Hitori_,16824.3,15831.30,-30,28176151
12452291,Krn_,16701.8,15829.77,-14,28176151
8538906,ItzBenja616,16706.5,15748.05,358,28176151
3667577,NiAs-,16609.3,15714.09,443,28176151
18032915,mlaassss,16511.6,15679.80,145,28176151
15203710,xyphla,16649,15679.70,224,28176151
4123399,Sadcat,16008,15649.23,1685,28176151
2427023,-Homura-,16561.3,15647.40,284,28176151
13484381,Hanako Kuroe,16595.7,15641.05,308,28176151
27127815,mrking et,16620.3,15633.00,-397,28176151
28901621,Kurioshi Fio,16349.2,15631.17,63,28176151
18707350,7keyEgoist,16381.6,15624.83,-369,28176151
10364342,Exyph,16439.8,15613.97,963,28176151
6857841,timebuka,15840.7,15603.81,1191,28176151
11778716,-Kanao-,16569.8,15593.03,261,28176151
9085137,mama mo,16005.9,15562.33,370,28176151
13408635,[LynX],16509,15549.44,-657,28176151
2160513,Kanosy,16400.8,15545.99,699,28176151
17106738,CaptainCrow,16507.5,15544.18,-361,28176151
8039923,Load,16412.3,15521.29,102,28176151
3155787,MoTeSolo,15391.8,15491.61,2766,28176151
18664411,Babypotaterrx3,15969.4,15489.84,-76,28176151
12345357,seokseki,15411.7,15485.06,2285,28176151
8491893,Jingburger_fan,16391.4,15484.46,319,28176151
6431950,Kutar_,16361.7,15458.32,88,28176151
2225008,Skalim,15825.6,15442.39,1890,28176151
17753835,YyottaCat,16023.9,15431.32,-274,28176151
1530308,Zei-,16231.4,15396.28,850,28176151
5402803,OutLast,15608.2,15377.87,2222,28176151
277044,Entozer,15516.8,15376.31,2348,28176151
3603342,SDMseven,15653.6,15360.49,907,28176151
12101157,nickulott,16134.8,15358.73,254,28176151
2573716,Akayro,16023.8,15356.93,1005,28176151
10696707,Greedom,16269.4,15332.99,209,28176151
14588134,Jibran-,15806.7,15313.18,733,28176151
33892216,nyanko13000,15748,15299.72,528,28176151
7286896,RevVoJH,15997.9,15276.60,1023,28176151
11566799,Shepped,16195.9,15275.16,8,28176151
3337688,ZYuan,16251.9,15275.01,65,28176151
10580267,Chenut BS,16264.1,15257.76,-222,28176151
24153103,Steve28,16213.5,15238.04,-1257,28176151
23783415,pipisugar,15918.9,15197.10,198,28176151
13601876,Orost,16237.1,15192.94,-949,28176151
11885200,DaKub,15680.9,15182.21,756,28176151
1654221,Hudonom,15288.5,15181.71,2529,28176151
3360737,Jinjin,16189.9,15169.02,38,28176151
7589503,RaffCo,15043.1,15084.63,1973,28176151
8768801,Subakba,15896.5,15075.73,-151,28176151
13450837,shadowkun-,15652.6,15070.87,184,28176151
24057093,hisa_knowledge,15770.3,15059.98,-622,28176151
9697642,sou_865,15875.5,15051.63,513,28176151
10465260,yahweh,15706.4,15044.85,1006,28176151
13190286,EXSpins,15665.6,15002.76,-541,28176151
5527957,Mage,15476.6,14982.81,1490,28176151
16235845,Fabi03,15813,14977.60,-314,28176151
10613612,Merhaf,15932.9,14953.56,-290,28176151
11188249,Plutes,15794.7,14946.50,-715,28176151
9188975,mae0149,15257.1,14938.29,1123,28176151
8933873,niv119,15662.1,14914.63,625,28176151
2570019,PhobosX,15343.5,14843.72,326,28176151
9821346,AzusaNakano2,15758.6,14828.23,-239,28176151
7216115,Rantte,15899,14827.50,49,28176151
5190592,SilentParleHorn,15261.2,14792.45,-1019,28176151
6066359,_Yiiiii,15325.2,14768.38,960,28176151
7233032,paprotkaaaa,15542.4,14767.14,-1237,28176151
8748747,tartbtw,15735,14745.83,-696,28176151
27404774,yui -,15748.4,14742.41,-1165,28176151
31023928,ysh0212,15500.6,14737.19,98,28176151
2039089,arcwinolivirus,15356.4,14735.49,909,28176151
6264519,MillaMaxwelle,15744.5,14734.55,-54,28176151
7266339,-Melon,15446.1,14725.79,-168,28176151
3525251,Dadots,15193.6,14723.19,1153,28176151
13847951,Dale940,15528,14722.53,-395,28176151
7014697,Estonians,14831.5,14688.65,2419,28176152
25826291,CMRainbowX,15301.8,14660.39,96,28176151
16837177,CappK,14894,14657.55,736,28176152
4372604,-Squishy,14975.4,14641.96,1852,28176152
3279570,Terni,15635.6,14628.50,170,28176151
3874031,longnguyen2004,15498.6,14626.47,-157,28176151
13656264,palmEuEi,15537,14620.69,-690,28176151
24880938,[GB]hej_067,15042.5,14607.91,810,28176152
10001325,Krokodil,15424.7,14606.78,178,28176151
7945868,SnowScent,14868.4,14600.75,617,28176152
11659956,gary061014,15415.2,14587.28,114,28176151
7968696,CurlMike,15492.7,14583.95,-341,28176151
7673299,nadavv,15595.1,14578.88,568,28176151
11544638,Anecdote,15163.4,14551.17,-824,28176151
12431407,kang999,14816.3,14520.27,1442,28176152
24140109,- Kopi -,15555.4,14512.76,11,28176151
4726691,Yamakazi,15318.3,14496.73,87,28176151
30191091,wheatiee,15147.5,14494.13,-1076,28176151
14259202,shiumai_kun,15115.8,14469.21,-594,28176151
14703345,Mito Van,15410.4,14467.17,-52,28176151
15806513,jkzu123,14685.4,14464.69,1394,28176152
21114236,clonedroid,15388.1,14463.36,-980,28176151
18766595,PetrGrfn,14470.8,14439.61,779,28176152
5001658,Fritte,15414,14422.95,92,28176151
7771572,-K i r e i-,15135.3,14420.24,-12,28176151
8291500,Seiren Shikino,14493.2,14413.61,833,28176152
10242770,LelPop,14569,14409.39,2383,28176152
12346181,0133,14292.4,14403.67,2765,28176152
7082178,[Crz]Satori,14297.4,14402.75,2476,28176152
10133496,Lenxis_,15058.1,14362.08,689,28176151
6864656,JDS20,15078.9,14353.67,61,28176151
9557847,hisaella,15285.3,14351.73,43,28176151
7985400,Bongearth,14312.1,14346.86,2521,28176152
4702061,Dominance-,15193.5,14342.79,54,28176151
30034604,Ai-Ryz,15030,14334.77,552,28176152
10745260,jhleetgirl,15257.9,14318.43,-722,28176151
2653437,robby250,15412.5,14314.68,-474,28176151
6444766,DeepBlueSky,15074.6,14298.31,452,28176151
18478864,Saugage,15172.1,14277.93,-223,28176151
8468203,[GB]King Fish,15266.7,14272.52,-502,28176151
5604329,Rio1-,14748.2,14268.73,1455,28176152
6392061,Pengdoll,14199.9,14249.77,2950,28176152
18496063,tastydumpl1ng,14844.3,14243.14,63,28176152
2449200,AncuL,14905.8,14239.53,143,28176152
10888689,[LS]Gavin,15165.3,14227.59,-899,28176151
12169989,prin1209,14789.3,14219.28,531,28176152
23731514,zNoah,14911.5,14206.45,30,28176152
13385865,bad hd player,14652.6,14206.13,780,28176152
3375226,hero_jeff,12493.6,14175.70,0,28176153
9760824,7777,14112.7,14157.51,2797,28176152
5818319,masaya,14782,14155.73,1055,28176152
8581031,Poca,15232.1,14154.72,-997,28176151
13280546,Ra-alt,15118.9,14151.08,-345,28176151
1482965,Cobo-,14270.3,14121.87,2362,28176152
8534840,DawnX,14150,14120.33,1592,28176152
7798127,tupi129,6562.68,14101.11,651,28176177
10483296,Papago,14355.2,14079.51,815,28176152
4998501,xNett,15005.7,14076.06,-189,28176152
8856244,erased self,15050.2,14052.74,-56,28176152
4693052,lemonguy,14926.2,14046.58,-252,28176152
28251667,[Crz]bubu,14203.9,14042.29,311,28176152
23179367,jeyik,14781.1,14034.20,118,28176152
4961595,Majesty,14986.9,14027.54,194,28176152
8884753,]sushi[,14702.5,14026.80,-20,28176152
1948903,Gonzaalooo,14240.1,14014.57,1736,28176152
13488325,ottenst,14817.1,13997.37,-488,28176152
8021339,Mi-a,14473.4,13988.63,814,28176152
11956607,Adogg145,14661.3,13985.98,159,28176152
2940660,Hehoooh,14213.7,13985.18,2277,28176152
10011429,[ misa ],14824,13977.54,200,28176152
7227070,IllIlllIIlIIlIl,14011.8,13972.19,1900,28176152
3166596,Wewoj,14401.2,13966.62,1235,28176152
3608278,yuruyuridaisuki,14508.6,13927.61,925,28176152
4084853,xxxxxx2800,14913.7,13921.61,-1070,28176152
12452131,gaesol,14520,13882.11,-384,28176152
13929448,oscarcx,14867.5,13863.98,-409,28176152
16696389,spizman,14376.7,13812.78,402,28176152
18270641,[LS]Shark,14791.5,13812.77,54,28176152
32304607,Mieo,14419.6,13806.75,764,28176152
2281110,Nyarlahothep,14030.2,13776.48,931,28176152
11743223,Burn2,14450.3,13767.73,172,28176152
7326238,XDerbyX,13749.3,13766.13,1898,28176152
17285510,SoominFanGirl,14499.1,13750.61,-121,28176152
18309106,adihza,14115.9,13750.50,903,28176152
9169747,Eliminate,13942.7,13732.27,1791,28176152
2163585,Snowwind,14286.4,13728.89,1885,28176152
10353340,chimameee,14610.4,13726.24,-300,28176152
6209713,_Kobii,14539.9,13724.11,170,28176152
4544555,Opean,14645.4,13722.40,244,28176152
7240849,-dreamy witch-,14562.3,13679.64,-157,28176152
12197593,Cattlea,14512.6,13668.45,-44,28176152
18338179,bagjettka,14410.6,13659.63,-1046,28176152
9502281,- Xiaoluoli -,14395.6,13642.84,-948,28176152
31948630,UngDiKing,14150.7,13633.69,-123,28176152
9299072,[Crz]Zetsfy,13402,13624.93,1605,28176152
4258495,[bouncyball],14039.7,13623.06,825,28176152
10947900,Kaori Kyan,13847.1,13621.28,1652,28176152
4075092,Blocko,14449.8,13615.78,-33,28176152
26856985,SoftC418,14268.3,13610.08,54,28176152
11787977,[MY]NoLimit,14437.8,13608.06,-66,28176152
2081126,Vala,14526.1,13605.87,160,28176152
14751007,Binaric,14466.5,13600.64,-589,28176152
18042127,[Crz]IsxI,14464.8,13596.89,-1302,28176152
25024313,zScroller,14266.2,13577.60,-735,28176152
19965357,NLWasTaken,14279.9,13571.90,-980,28176152
20868243,Attraqtia,14521.5,13571.67,-927,28176152
3642440,Identikit,14413.5,13567.12,-120,28176152
8610776,Lelloq,13596,13550.33,91,28176152
16870002,sukidayo-,14309.3,13544.26,-928,28176152
15929931,Haengsyo,14446.1,13539.01,141,28176152
22725724,magnifestio,13766.1,13535.27,684,28176152
3037469,Niks,13887.6,13534.33,1189,28176152
13572493,Stoom,14414.1,13519.12,-260,28176152
18341280,Lowuki,14463.8,13516.53,-1054,28176152
10036005,-Oni-Chan-,14542.2,13515.72,-937,28176152
17989209,ag0,14426.3,13513.67,-307,28176152
11388710,mo_Gwa,14457.6,13512.89,207,28176152
16371466,109,13568.6,13506.77,1952,28176152
8911771,Heriza-,14274.8,13504.53,170,28176152
11765280,LunarCoffee,14283.2,13500.57,281,28176152
3946113,idqoos123,14306,13500.21,20,28176152
13289287,Ranshii,13957.3,13497.41,721,28176152
11731209,Reticent,14384.8,13494.16,77,28176152
10236326,YeonHong187,14207.7,13487.32,131,28176152
8011881,k s m,13797.1,13484.16,1202,28176152
13151924,LuluM,13903.5,13481.30,956,28176152
10817494,[Crz]Nickname,13980.7,13480.20,512,28176152
9504954,SmeadollsBoy,14406.1,13480.09,263,28176152
505137,H O L Y,13490.6,13454.78,2394,28176152
14880391,BanDalGom1,14031.6,13453.63,-497,28176152
17137171,hardcoding,14313.7,13451.58,-974,28176152
4116072,Arkener,14559.6,13434.11,-972,28176152
105511,turtlewing,13884,13425.78,763,28176152
8408784,Tropicar,14270.9,13418.92,-272,28176152
13878539,Veryi,13797.5,13409.05,607,28176152
7509879,Esc,13785.4,13407.90,1424,28176152
13431947,jeremkyurem,13955.5,13381.69,-500,28176152
17131079,jkyo7899,14104,13379.18,-199,28176152
16997201,[ DominicieL ],13811.2,13358.02,-859,28176152
33218299,MeMelon,13781,13357.38,-21,28176152
14535598,Mokett,14233.9,13334.98,767,28176152
11107867,AKlevenseven,13431.8,13333.02,876,28176152
10284984,Begin,14319.6,13331.28,-394,28176152
2115269,[YRK],14195.5,13330.14,68,28176152
14551764,[LS]Mitter,13465.1,13319.53,888,28176152
20360332,[LS]bambi fnf,14380.7,13312.40,-560,28176152
4866977,Lam-,14062.4,13308.21,-46,28176152
26140861,H5N,12257.4,13300.50,1063,28176153
14714059,Tofu80,14086.6,13291.62,51,28176152
8179131,[Crz]MemoryI,13202.5,13291.56,2402,28176152
1031263,Snowdrop,13873.5,13290.80,1510,28176152
7794488,cafesito,13220.1,13285.81,2183,28176152
16020685,ShiroPeDeFresa,14193.4,13277.32,-834,28176152
26688450,Luqas678,13288.7,13254.64,-687,28176152
12006280,Yunabi,13973.5,13223.27,499,28176152
11313227,Quotient GD,13719.7,13222.54,647,28176152
27313653,byKloud,14062.7,13213.47,-581,28176152
12046267,--Pavin--,13674.3,13205.34,106,28176152
9630674,Freek,13828.6,13190.95,355,28176152
11734610,Nepijin,13463.9,13184.23,927,28176152
6419257,Zmor0133,13909.1,13180.00,-1014,28176152
17460326,Fairy-,13199.3,13178.46,1596,28176152
8725215,avaah,13871.6,13173.38,316,28176152
118489,inuyashasama,13935.7,13172.84,433,28176152
18638952,Iasys,13999.5,13168.55,-84,28176152
9238293,Hucky,14071.1,13167.73,-90,28176152
17640814,fishbone2445,14083.6,13152.64,-175,28176152
8332881,Minnoz,13812.9,13151.67,84,28176152
33386856,My Angel Rei,13675.8,13151.54,517,28176152
7955249,Thengkeon,14045.6,13150.04,-205,28176152
3918056,Craty,13969.3,13148.25,-78,28176152
8271308,Lung_P,13822.6,13147.28,-165,28176152
9267793,polyesterphile,13291.3,13139.53,1558,28176152
17907690,hnthnthnt,14023.8,13139.43,-122,28176152
16566148,M2UFanboy,13656.4,13134.93,213,28176152
29065774,imstupidfor7k,13883.4,13132.22,-780,28176152
13288401,Damned,13976.1,13128.29,-163,28176152
12052253,SuperPotatoMLG,13981.7,13121.66,-472,28176152
9916104,LoligodBE,13941.6,13109.34,-202,28176152
16124906,Vincus,14013.3,13105.49,-868,28176152
4700778,Coolgamer,13950.5,13098.70,-149,28176152
28966853,DOWNLOLDACOUNT,13733,13083.36,-892,28176152
17655626,Milerangkis,13800.7,13068.45,-210,28176152
31058576,DaemonophobiA,13811.6,13056.25,-798,28176152
16108901,D F A,13882.1,13033.30,-388,28176152
9074982,weikong,13170.3,13033.21,1454,28176152
11149878,Bounter,13897.7,13027.86,-437,28176152
17308009,Hello_Son,13407.9,13027.41,709,28176152
623773,metyabo,13790.5,13015.76,1076,28176152
11799958,buenoo,13767.2,13014.03,-487,28176152
11817838,TristanJacob11,13345.5,13004.06,403,28176152
2747704,Dawt,13738.1,12993.87,-341,28176152
16277321,[GB]nyasun,13438.1,12982.67,-45,28176152
6694908,X_Devil,13809.9,12981.64,-608,28176152
16131837,Monsterr,13493.9,12952.11,-173,28176152
4918394,Seulgi,13715.4,12950.93,505,28176152
14544810,maniashallah,13833.2,12945.73,-309,28176152
12320264,YuJJun,13678.8,12945.02,158,28176152
11624923,Dukitan,13699,12933.57,-274,28176152
10629473,cow,13416.8,12930.33,-28,28176152
8094971,Difenoxin,13557.8,12926.36,-2,28176152
4414322,[Style],13430.1,12925.42,781,28176152
13975661,lianic,13575.9,12922.75,184,28176152
6382544,heavyweapon9,13327.8,12907.83,282,28176152
11937337,WaterMelonTube,13364.5,12904.72,-820,28176152
19334327,Blaite1016,13664.6,12904.11,-676,28176152
28686998,[LS],13525.6,12893.58,-1066,28176152
13390529,-Aishiteru-,13145.1,12885.97,1088,28176152
3846874,Itim,13727.8,12872.45,-88,28176152
8370443,Lovelyn,13852.7,12851.73,-350,28176152
8369409,[Crz]Rachel,13324.6,12847.89,49,28176152
24144271,hi1i2i,13201,12847.37,454,28176152
7676585,[RS] F4st,13943.4,12845.44,-876,28176152
1626983,Gumi Fumo,13515.8,12844.83,794,28176152
2368630,lucky icons,13701.5,12844.74,-107,28176152
15391485,hsod,13164.1,12840.65,280,28176152
7539957,Makiba,13597,12836.07,614,28176152
11400322,WANGTIANDADA,13609,12831.95,44,28176152
10085090,Carpihat,13909.4,12831.23,-992,28176152
3035476,araragigun,13208.5,12829.09,1710,28176152
12261836,A i r -,13701.2,12822.66,-267,28176152
11480864,azuree,13730.9,12816.79,-783,28176152
19659006,Mushroompie,13283.5,12805.00,54,28176152
12399822,Tiputo,13622.8,12799.47,-193,28176152
7081478,[GS]Teo,13202.6,12799.14,739,28176152
29721533,ICDYO,13605,12797.37,-216,28176152
14213383,Kalguksu,13217.4,12794.91,863,28176152
9244686,shippou,12734.5,12783.04,2316,28176152
11257774,Sai_Mnz,12996,12780.58,1197,28176152
4686520,_claidheamh,13404.1,12766.90,-778,28176152
11976319,Lv_k,13644.7,12766.30,-330,28176152
14676719,TTv_UFO,13127.4,12760.51,719,28176152
11829623,[ -Asriel- ],13449.9,12751.27,253,28176152
12562107,CPT_Sivelia,13360.9,12749.38,48,28176152
18521083,Croatian songs,13113.3,12745.43,119,28176152
10707444,Skadi_,13554.1,12744.33,-409,28176152
18278945,qtepote,13210.8,12740.95,298,28176152
3215366,Matiias,12858.3,12738.05,2043,28176152
29621751,0628,12691.1,12727.12,2005,28176152
7439939,by-ad,13617.7,12723.02,-304,28176152
12599154,Toxic Scent,13080.8,12709.18,468,28176152
11759693,DarryllV,13615.3,12708.33,-14,28176152
9637629,Forgotten -,13307.3,12680.34,432,28176152
8846778,sang981203,12884.9,12679.15,1643,28176152
19446399,Robeats,13336.9,12675.90,-1132,28176152
9595391,kanki2,12383.7,12670.85,2679,28176153
9492940,- Min -,13312.9,12631.70,447,28176152
3244389,Mura7797,12627.1,12627.14,2291,28176152
4557440,reyss,12813.7,12624.80,1240,28176152
17557759,Lynxaar,12939.7,12621.15,768,28176152
17237364,EstaticStatisIO,13551.4,12605.57,-964,28176152
7490871,limtan,13245.2,12602.77,-94,28176152
18801040,xxrobloxpro42,13450.4,12591.05,-562,28176152
6748142,MinatoFan,13233.8,12588.14,510,28176152
11144363,-[Ulazis]-,13183.5,12586.76,-1225,28176152
24776314,Anosious,12824.2,12583.05,305,28176152
8195584,yellEx,12802.1,12576.57,1597,28176152
31899950,Culture Clove,12341.8,12575.27,245,28176153
17535627,__Yuri__,12868.5,12568.62,-92,28176152
20951357,cuteyzn,13402.6,12554.85,-368,28176152
32503792,woodstockVV,13116.5,12546.48,-549,28176152
16407268,[LS]Dev,13101.3,12545.86,441,28176152
9006144,Moca7,12485.8,12540.50,1917,28176153
7909538,KimTaJo,12646.7,12536.90,1069,28176152
10242297,Tiger,13414.8,12535.51,-713,28176152
13170913,m1n530k,13166.6,12528.75,427,28176152
15447708,Burgundy,12734.4,12519.03,499,28176152
17289780,Reptilion,13166.6,12517.71,-920,28176152
18566390,Rocstarxd,12714,12507.36,999,28176152
9530019,Lothus,12846.8,12499.09,563,28176152
12796512,shiyu1213,12838.8,12491.13,1265,28176152
20496815,7Kenn,12864.6,12488.44,329,28176152
2820075,gosy777,13335.9,12484.95,573,28176152
7928981,[Crz]Riko,12844.3,12481.72,155,28176152
6699923,SuddenDeath,12933.8,12475.36,1334,28176152
9787146,Myukee,12801.8,12452.62,1475,28176152
27301297,Sujin97,12239.1,12449.78,1907,28176153
32453617,-Delaynomore-,13089.1,12443.73,217,28176152
12055954,sir aelay,12859.4,12443.40,870,28176152
12634361,k4Zero,13198.2,12435.20,-846,28176152
16505281,Buschan,13018.4,12434.54,493,28176152
28098890,parponger,12636.9,12416.57,274,28176152
10340462,Endroma,13276.3,12415.89,69,28176152
10027302,Cyaewin,13438.7,12413.20,-954,28176152
9655624,1405512654,12825.4,12407.91,807,28176152
16446375,DumbFunk,13021.1,12396.46,724,28176152
3793502,- Kaho -,12908.1,12394.50,-367,28176152
17154483,imrrr,13106.5,12390.56,-44,28176152
9602755,Mitto,13242,12380.17,-305,28176152
15807665,alivn,13277.6,12375.99,-940,28176152
7466406,hoo9030,13110.4,12367.10,465,28176152
16923930,Natsumi100,12605.4,12365.55,684,28176152
11488604,CrewK,12832.9,12359.09,710,28176152
13901048,Iyeong_,13159.3,12351.81,41,28176152
4760676,Lyuna,12664.2,12345.99,1504,28176152
5235597,Genuine,13137.6,12334.91,-509,28176152
